yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2015,1,8063,386399,1,1,1,1,104,2,404177.0,1,2
2016,1,23104,265499,1,1,2,1,10,1,354313.0,1,2
2017,1,23402,477699,1,1,2,2,56,1,488119.5,1,2
2013,2,39124,307999,1,1,1,1,104,1,374326.0,1,2
2015,1,22116,361499,1,1,1,2,56,1,367216.0,1,2
2012,2,41213,281999,1,1,1,1,92,1,322798.0,1,2
2012,1,38328,321499,1,1,2,2,60,3,410764.0,1,2
2014,2,56402,456199,1,1,2,2,42,1,566123.0,1,2
2018,1,32703,281299,1,1,2,3,69,1,344127.0,1,2
2014,1,53180,206899,1,1,1,1,10,1,207105.0,1,2
2008,1,44219,194699,1,1,3,2,59,1,297907.5,2,2
2012,2,55764,287999,1,1,1,2,60,2,356231.0,1,2
2012,1,58581,235699,1,1,2,4,21,1,307559.0,1,2
2011,1,49761,207499,1,1,1,2,59,1,297907.5,2,2
2010,1,63808,304199,2,1,2,4,27,1,364648.0,1,2
2011,1,70126,217599,1,1,1,2,59,1,284836.0,1,2
2013,1,49817,216899,1,1,3,2,44,1,288599.0,1,2
2015,2,62806,396499,1,1,2,1,104,1,515526.0,1,2
2015,1,58396,347399,1,1,1,4,21,2,405581.0,1,2
2014,1,59559,209799,1,1,2,2,44,1,272348.0,1,2
2012,2,68355,398799,2,1,3,2,114,1,467580.0,1,2
2010,1,82078,207099,1,1,1,1,92,1,257586.0,1,2
2013,2,66350,318399,1,1,1,1,104,1,467108.0,1,2
2010,1,56231,180999,1,1,2,1,9,2,238999.0,2,2
2010,1,72985,227699,1,1,3,2,60,1,355277.0,1,2
2009,1,79244,164899,1,1,1,2,98,1,177150.0,2,2
2014,1,71876,389699,1,1,1,1,104,1,480698.0,1,2
2011,1,90479,224299,2,1,3,1,105,1,282096.0,1,2
2013,2,66940,397199,3,1,3,5,40,1,472084.0,1,2
2013,2,80394,332499,2,1,2,1,105,1,408992.0,1,2
2012,2,77954,306899,2,1,1,1,105,2,369669.0,1,2
2012,1,82364,287099,2,1,1,6,102,1,332102.0,1,2
